acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
270,448,4174,-57,-545,218
289,623,4006,-209,-542,201
282,680,4126,-429,-558,149
323,800,4030,-367,-569,19
328,838,3959,-444,-589,-101
352,687,4028,-564,-618,-218
359,497,4055,-530,-640,-332
366,369,4088,-481,-653,-417
388,125,4141,-475,-662,-468
417,-141,4229,-466,-662,-472
485,-333,4315,-478,-643,-421
489,-473,4464,-499,-606,-335
511,-529,4528,-452,-540,-253
509,-513,4480,-386,-459,-168
496,-418,4339,-338,-384,-93
496,-313,4233,-346,-330,-31
467,-134,4141,-328,-296,-6
482,24,4063,-321,-282,-29
528,110,4054,-372,-284,-71
551,95,4056,-403,-291,-130
574,53,4095,-395,-296,-197
586,-17,4134,-378,-293,-251
606,-101,4183,-352,-291,-296
597,-214,4211,-326,-280,-318
586,-319,4234,-319,-254,-317
588,-365,4144,-279,-213,-314
568,-370,4030,-308,-177,-300
607,-391,4039,-388,-158,-283
632,-402,4042,-383,-153,-290
623,-457,4065,-355,-152,-305
631,-534,4083,-331,-152,-308
645,-582,4124,-324,-147,-291
632,-621,4101,-298,-128,-268
614,-633,4052,-255,-109,-239
616,-693,4031,-201,-94,-204
591,-716,3961,-82,-84,-159
608,-648,3896,21,-93,-129
642,-574,3873,80,-121,-115
665,-515,3925,113,-165,-122
699,-520,3994,167,-209,-159
728,-567,4127,223,-248,-196
756,-617,4265,272,-266,-216
759,-658,4319,299,-260,-220
775,-714,4392,273,-236,-194
783,-726,4387,252,-202,-154
796,-697,4374,205,-167,-105
793,-627,4351,137,-136,-55
792,-588,4363,65,-103,-21
774,-539,4302,61,-66,-6
761,-511,4175,61,-35,0
728,-464,4009,46,-22,7
678,-405,3853,36,-32,11
666,-322,3663,41,-71,8
633,-210,3469,21,-137,0
624,-148,3281,-29,-231,-24
657,-146,3151,-106,-359,-53
780,-243,3305,-124,-525,-93
882,-352,3681,-65,-678,-137
918,-414,3975,26,-737,-160
957,-363,4101,85,-731,-160
1040,-334,4085,16,-704,-146
1037,-377,4060,-127,-672,-114
992,-365,3845,-363,-610,-43
965,-305,3694,-410,-590,-19
938,-182,3522,-355,-594,-29
935,-27,3323,-265,-626,-78
977,58,3204,-203,-691,-157
1038,73,3096,-157,-777,-259
1047,1,3096,-126,-878,-366
1076,-117,3212,-5,-995,-494
1272,-253,3339,87,-1108,-593
1408,-435,3826,-19,-1195,-615
1477,-659,4191,-165,-1161,-592
1452,-848,4274,-292,-1033,-510
1430,-886,4155,-366,-882,-394
1400,-788,3843,-403,-747,-279
1384,-599,3450,-413,-667,-190
1395,-372,3177,-390,-670,-152
1433,-224,2921,-374,-719,-178
1444,-284,2872,-405,-815,-242
1548,-408,3075,-311,-939,-336
1660,-492,3431,-155,-1037,-429
1972,-667,3790,-102,-1045,-493
1986,-801,3904,-283,-997,-437
1982,-865,3921,-428,-916,-355
2049,-811,3964,-505,-843,-267
2067,-713,3921,-524,-765,-206
2071,-593,3794,-499,-671,-188
2071,-593,3794,-499,-671,-188
2131,-440,3368,-424,-568,-231
2085,-463,3217,-436,-576,-259
2167,-522,3192,-405,-616,-294
2157,-534,3302,-341,-672,-335
2100,-626,3384,-321,-695,-376
2038,-830,3364,-359,-675,-384
2105,-940,2990,-411,-665,-361
2215,-1108,2794,-664,-734,-265
2754,-1154,3088,-854,-887,-106
2679,-1048,3664,-903,-1027,19
2926,-858,3734,-774,-1068,46
2858,-658,3992,-849,-991,84
2890,-678,4302,-955,-796,88
3058,-508,4164,-668,-603,-39
2900,-527,4357,-593,-407,-161
2771,-628,4294,-433,-147,-305
2763,-756,3773,-252,78,-427
2686,-896,3286,-246,183,-476
2540,-1068,3114,-316,200,-476
2472,-1169,3054,-269,188,-452
2428,-1140,3022,-148,165,-428
2424,-1111,3044,-79,140,-408
2451,-1050,3132,-32,121,-371
2478,-978,3163,-33,115,-324
2432,-955,3207,-118,127,-267
1883,-988,3027,-273,173,-186
