acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,target
-1367,997,1906,-225,758,-987,0
-1451,989,1760,-233,639,-988,0
-1505,846,1832,-211,510,-1008,0
-1561,835,1870,-139,396,-1016,0
-1587,819,2002,-52,285,-1036,0
-1585,768,2245,0,189,-1054,0
-1540,786,2543,42,119,-1071,0
-1553,762,2803,62,87,-1095,0
-1568,777,2853,70,95,-1112,0
-1619,704,2734,82,98,-1139,0
-1658,632,2616,66,71,-1152,0
-1667,667,2491,87,11,-1168,0
-1645,624,2575,107,-73,-1204,0
-1604,439,2783,103,-145,-1238,0
-1559,262,3024,103,-187,-1248,0
-1505,142,3088,103,-188,-1241,0
-1536,126,2730,93,-181,-1235,0
-1638,30,2462,78,-239,-1235,0
-1627,-155,2478,87,-335,-1220,0
-1589,-133,2544,106,-424,-1181,0
-1466,33,2693,103,-503,-1154,0
-1421,-236,2881,149,-579,-1182,0
-1422,-261,2640,226,-599,-1182,0
-1452,-450,2618,278,-676,-1196,0
-1382,-813,3057,268,-763,-1170,0
-1326,-973,3300,241,-772,-1079,0
-1336,-807,3116,189,-738,-961,0
-1365,-467,2753,189,-746,-892,0
-1357,-391,2500,246,-816,-894,0
-1376,-648,2554,313,-928,-909,0
-1316,-924,3045,331,-1039,-855,0
-1218,-857,3428,290,-1071,-740,0
-1177,-669,3526,214,-1053,-639,0
-1139,-599,3628,168,-1046,-580,0
-1109,-351,3514,168,-1029,-537,0
-1125,-225,3341,179,-1046,-546,0
-1010,-431,3496,202,-1103,-567,0
-961,-560,3663,222,-1129,-544,0
-934,-624,3727,229,-1136,-493,0
-893,-465,3771,214,-1140,-423,0
-879,-243,3662,210,-1146,-381,0
-808,-345,3838,185,-1186,-372,0
-708,-454,4251,151,-1206,-340,0
-625,-386,4313,111,-1166,-293,0
-609,-408,4230,72,-1121,-270,0
-564,-440,4090,83,-1092,-251,0
-583,-450,3952,112,-1092,-237,0
-526,-627,4077,139,-1123,-222,0
