acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z
-1178,-131,2148,106,156,3
-1187,77,2004,94,96,12
-1191,46,1955,85,10,-6
-1178,31,2020,69,-82,-6
-1165,187,1982,42,-165,8
-1170,259,1959,1,-258,-4
-1183,258,2042,-20,-356,-24
-1145,580,2142,-30,-524,-62
-1136,577,2266,-44,-607,-111
-1113,488,2400,-66,-679,-147
-1070,513,2500,-95,-740,-161
-1026,545,2656,-127,-803,-183
-984,604,2677,-150,-857,-206
-915,695,2816,-166,-927,-240
-830,682,3120,-189,-984,-283
-763,666,3279,-216,-1002,-319
-716,807,3189,-239,-1002,-352
-649,819,3095,-239,-1036,-416
-576,724,3173,-231,-1088,-480
-522,693,3362,-276,-1152,-557
-511,623,3410,-316,-1190,-605
-478,386,3698,-325,-1235,-649
-404,439,3839,-317,-1243,-655
-338,534,3828,-320,-1246,-683
-248,435,3939,-334,-1265,-732
-203,366,4083,-345,-1280,-763
-175,50,4263,-365,-1253,-774
44,105,4582,-326,-1318,-811
56,-209,5330,-363,-1207,-828
-47,44,4448,-366,-1035,-796
62,50,4635,-311,-1062,-855
57,-385,4639,-284,-1013,-922
1,-677,4395,-253,-982,-920
11,-1102,4467,-237,-997,-895
123,-1335,4785,-301,-1039,-739
102,-1118,4615,-310,-862,-701
177,-1062,5020,-201,-889,-648
224,-799,4980,-169,-829,-609
262,-1128,4845,-201,-808,-626
268,-1280,5117,-208,-778,-566
294,-1046,5141,-178,-728,-492
399,-1025,5437,-145,-698,-495
354,-1349,5506,-135,-592,-480
